Data / Time,CPU Usage %,Memory Available GB
2025-03-03 17:47:04.052762,1.7,46.67608261
2025-03-03 17:47:14.358720,2.1,46.68183136
2025-03-03 17:47:24.524722,4.1,46.62330246
2025-03-03 17:47:34.725182,7.7,46.60795212
2025-03-03 17:47:44.966886,1.7,46.66683197
2025-03-03 17:47:55.212380,4.7,46.71762848
2025-03-03 17:48:05.419011,5.9,46.86199188
2025-03-03 17:48:15.597973,6.3,46.71773148
2025-03-03 17:48:25.825546,14.2,46.18969345
2025-03-03 17:48:36.004571,6.1,46.28511429
2025-03-03 17:48:46.345959,13,46.36779785
2025-03-03 17:48:56.504494,13.3,46.45695496
2025-03-03 17:49:06.843253,3.4,46.73046875
2025-03-03 17:49:17.054374,1.9,46.77399445
2025-03-03 17:49:27.316794,2.5,46.82210159
2025-03-03 17:49:37.591315,8.3,46.60705948
2025-03-03 17:49:48.408837,8,46.6324234
2025-03-03 17:49:58.646520,9.2,46.67023849
2025-03-03 17:50:08.849567,4,46.75367355
2025-03-03 17:50:19.023595,8,46.56344986
2025-03-03 17:50:29.201912,9.1,46.42842484
2025-03-03 17:50:39.473855,6.3,46.36446381
2025-03-03 17:50:49.707772,8.8,46.43238449
2025-03-03 17:50:59.920924,9.9,46.25154114
2025-03-03 17:51:10.192536,3.4,46.47601318
2025-03-03 17:51:20.392651,7.4,46.51592255
2025-03-03 17:51:30.768632,4.2,46.50823975
2025-03-03 17:51:41.017980,6.5,46.48737717
2025-03-03 17:51:51.255015,7.4,46.45989609
2025-03-03 17:52:01.429137,8.3,46.47942352
2025-03-03 17:52:11.611670,8.7,46.46305466
2025-03-03 17:52:21.868328,6.5,46.42898941
2025-03-03 17:52:32.213816,3.9,46.53781891
2025-03-03 17:52:42.390804,4.4,46.54483414
2025-03-03 17:52:52.594199,8.7,46.46669388
2025-03-03 17:53:02.872206,6.8,46.42974854
2025-03-03 17:53:13.143761,5.9,46.36514664
2025-03-03 17:53:23.414259,3.4,46.39902115
2025-03-03 17:53:33.675593,4.1,46.37141418
2025-03-03 17:53:43.849864,9.3,46.09523773
2025-03-03 17:53:54.049460,4.6,46.2792778
2025-03-03 17:54:04.476690,3.4,46.33154678
2025-03-03 17:54:14.925443,5.7,46.21540451
2025-03-03 17:54:25.204265,4.4,46.27042389
2025-03-03 17:54:35.510080,3.9,46.29183578
2025-03-03 17:54:46.254533,4.6,46.2178421
2025-03-03 17:54:56.726653,2.4,46.34461594
2025-03-03 17:55:06.943398,2.6,46.41551208
2025-03-03 17:55:17.205648,3.3,46.35373688
2025-03-03 17:55:27.571252,4,46.28568649
2025-03-03 17:55:37.771284,3.3,46.35601425
2025-03-03 17:55:48.012567,8.3,45.8257103
2025-03-03 17:55:58.316733,6.8,46.13513565
2025-03-03 17:56:08.690920,4.7,46.25776291
2025-03-03 17:56:19.008795,9.1,46.22825241
2025-03-03 17:56:29.478488,6,46.20967484
2025-03-03 17:56:39.821496,6.7,46.27798462
2025-03-03 17:56:50.074097,4.1,46.27281952
2025-03-03 17:57:00.409636,8.4,46.22636414
2025-03-03 17:57:10.644092,9.3,46.28461838
2025-03-03 17:57:20.903133,3.7,46.23907471
2025-03-03 17:57:31.229890,3.7,46.24812317
2025-03-03 17:57:41.626964,6.6,46.31127167
2025-03-03 17:57:52.018760,8,46.34240341
2025-03-03 17:58:02.368891,5.3,46.25551605
2025-03-03 17:58:12.606530,3.3,46.33102417
